event_day,count,mean,median,min,max,std
-14,12,-0.9966716024978323,-1.1478085460042364,-1.8179263018622123,0.13692104012787285,0.5620253677754835
-13,12,-0.8752368758508527,-1.1783162203162516,-1.7218367012301734,0.9014076899902933,0.7373797898886505
-12,12,-0.8527571451965703,-1.0329345368369283,-1.609517920558275,0.731926820276498,0.7053717234405388
-11,12,-0.38560642171227416,-0.9772870795082926,-1.4811192076155628,3.2485745868877007,1.379231633366174
-10,12,-0.7288225685989297,-0.9398339774263116,-1.2980990179817096,0.6033690746627092,0.6391005552018673
-9,12,-0.8105640461272833,-1.1123700561179184,-1.3386014561252575,0.7416800330903996,0.6943000536401137
-8,12,-1.1238141608415433,-1.1701855237485688,-1.6241744866187378,-0.2954266614747123,0.31385855010839153
-7,12,-0.908154864563187,-1.053163200267091,-1.2472309850180163,0.7726216665189796,0.546200082487373
-6,12,-0.6909076351673821,-0.889021167715413,-1.3017526015222312,1.5390569520542394,0.7894697615905754
-5,12,-0.8391799736252322,-0.9248524793630386,-2.9012750289911247,0.8566018056976563,0.9480365506166004
-4,12,-0.6420182558542349,-0.8550441587475192,-2.2139404067355137,0.9757356806556521,0.8224030295256076
-3,12,-0.4301484247607111,-0.6599090049445775,-1.1474351814832293,0.7987935965051833,0.6763876245838684
-2,12,-0.4394409534516748,-0.6164458175137145,-1.230779527109468,0.6291502467952347,0.7011941116683037
-1,12,-0.6615351157531987,-0.9613448474319772,-1.205647811890235,0.8404104415306837,0.6737387737293556
0,12,0.9035187461678821,1.1222972609386903,-1.2004820402643388,3.1236177576609583,1.3124774646642055
1,12,1.113856066683007,1.2285265026243966,-0.0639377627246064,1.8121985363504831,0.5897833590267711
2,12,1.072975383024873,1.0437924370166347,0.3167731740165684,2.107045733551348,0.5544553218152547
3,12,1.4012397718707763,1.3142368520821117,0.6395369060716479,2.6812261291756556,0.5750802620822186
4,12,1.4272775181384816,1.5751261999992898,0.32834927487615584,2.056604578271944,0.471917329852225
5,12,1.0569792348580764,1.155841841293182,0.04944671489697203,1.678712133623342,0.45975052250945325
6,12,0.5045436475894227,0.5715077587290308,-0.4443851798454677,1.2384236906507777,0.5604313364720189
7,12,0.568573749105595,0.7067115774408876,-0.5391634457427377,1.5378129494036163,0.6481043108781763
8,12,0.5382371265098906,0.5576618674318847,-0.5573400994764608,1.384789889465064,0.4741726407704361
9,12,0.494084058488045,0.5776221690851975,-0.8155227729187305,1.712239718627614,0.6634827936221076
10,12,0.6303816525870984,0.7804384635789956,-0.34547099327113506,1.216319812919563,0.5133650420609451
11,12,0.6426441248779576,0.7366418743693478,-0.5508402519456421,1.448125468151476,0.49383599709827736
12,12,0.34592978248033407,0.45111239108824114,-0.782643372987944,1.1885893992182095,0.5250280668058458
13,12,-0.03592654791283463,0.31366101321368317,-1.5987586658668447,1.1145642627092835,0.8028237142640314
14,12,-0.11811385202754417,0.210212941925793,-1.4393321688196967,0.8133798499792264,0.7581702202638213
15,12,0.047144923626055435,0.16164828208345838,-0.9273648361986794,0.7716917683148906,0.5368127326220926
16,12,0.1831281481108917,0.44116346064414735,-1.1022339069799023,0.9494154059556298,0.6609308038896816
17,12,0.2293098071435021,0.2942224064099196,-0.6937761753550815,1.2813731414941327,0.6048941713537356
18,12,0.2154093470698303,0.23692626379951598,-0.8454426249037866,1.2600621262237697,0.5948429182185414
19,12,-0.030479674670113383,-0.07747596124207262,-1.0800163011776698,0.9719920304775195,0.6023717173535112
20,12,-0.4027776627988981,-0.27737996086495026,-1.5477783761096453,0.5831710737192322,0.6157795117133134
21,12,-0.4030773069214099,-0.265718361235864,-1.624892163388658,0.6854250915878013,0.6294724829578323
