DateTime,Players
2024-12-05 00:00:00,15480
2024-12-06 00:00:00,15080
2024-12-07 00:00:00,17012
2024-12-08 00:00:00,17560
2024-12-09 00:00:00,15419
2024-12-10 00:00:00,14439
2024-12-11 00:00:00,14769
2024-12-12 00:00:00,23470
2024-12-13 00:00:00,20097
2024-12-14 00:00:00,21657
2024-12-15 00:00:00,21217
2024-12-16 00:00:00,17786
2024-12-17 00:00:00,17119
2024-12-18 00:00:00,18083
2024-12-19 00:00:00,16733
2024-12-20 00:00:00,17191
2024-12-21 00:00:00,18675
2024-12-22 00:00:00,18467
2024-12-23 00:00:00,17247
2024-12-24 00:00:00,15245
2024-12-25 00:00:00,14097
2024-12-26 00:00:00,15671
2024-12-27 00:00:00,15927
2024-12-28 00:00:00,16332
2024-12-29 00:00:00,17413
2024-12-30 00:00:00,16449
2024-12-31 00:00:00,14804
2025-01-01 00:00:00,16695
2025-01-02 00:00:00,16018
