DateTime,Players
2024-08-19 00:00:00,57657
2024-08-20 00:00:00,55884
2024-08-21 00:00:00,54940
2024-08-22 00:00:00,55420
2024-08-23 00:00:00,56374
2024-08-24 00:00:00,68721
2024-08-25 00:00:00,75832
2024-08-26 00:00:00,62064
2024-08-27 00:00:00,59001
2024-08-28 00:00:00,59741
2024-08-29 00:00:00,58549
2024-08-30 00:00:00,64010
2024-08-31 00:00:00,69846
2024-09-01 00:00:00,73607
2024-09-02 00:00:00,75263
2024-09-03 00:00:00,60550
2024-09-04 00:00:00,56287
2024-09-05 00:00:00,55272
2024-09-06 00:00:00,54120
2024-09-07 00:00:00,70278
2024-09-08 00:00:00,73383
2024-09-09 00:00:00,55881
2024-09-10 00:00:00,70421
2024-09-11 00:00:00,67486
2024-09-12 00:00:00,65813
2024-09-13 00:00:00,70953
2024-09-14 00:00:00,85585
2024-09-15 00:00:00,91165
2024-09-16 00:00:00,68681
