DateTime,Players
2023-04-13 00:00:00,31796
2023-04-14 00:00:00,37050
2023-04-15 00:00:00,39617
2023-04-16 00:00:00,35933
2023-04-17 00:00:00,31859
2023-04-18 00:00:00,30320
2023-04-19 00:00:00,31603
2023-04-20 00:00:00,32338
2023-04-21 00:00:00,39696
2023-04-22 00:00:00,39184
2023-04-23 00:00:00,38184
2023-04-24 00:00:00,34659
2023-04-25 00:00:00,34136
2023-04-26 00:00:00,29987
2023-04-27 00:00:00,29375
2023-04-28 00:00:00,73809
2023-04-29 00:00:00,96046
2023-04-30 00:00:00,107998
2023-05-01 00:00:00,105912
2023-05-02 00:00:00,99777
2023-05-03 00:00:00,101391
2023-05-04 00:00:00,110742
2023-05-05 00:00:00,106195
2023-05-06 00:00:00,115925
2023-05-07 00:00:00,101189
2023-05-08 00:00:00,88524
2023-05-09 00:00:00,82940
2023-05-10 00:00:00,77402
2023-05-11 00:00:00,73273
2023-05-12 00:00:00,81472
2023-05-13 00:00:00,84089
2023-05-14 00:00:00,73101
2023-05-15 00:00:00,64397
2023-05-16 00:00:00,61964
2023-05-17 00:00:00,61030
2023-05-18 00:00:00,58768
