"DateTime","Players"
"2020-06-03 00:00:00",10867
"2020-06-04 00:00:00",19736
"2020-06-05 00:00:00",27035
"2020-06-06 00:00:00",34033
"2020-06-07 00:00:00",41110
"2020-06-08 00:00:00",41949
"2020-06-09 00:00:00",46204
"2020-06-10 00:00:00",50450
"2020-06-11 00:00:00",51980
"2020-06-12 00:00:00",55244
"2020-06-13 00:00:00",59404
"2020-06-14 00:00:00",63365
"2020-06-15 00:00:00",62113
"2020-06-16 00:00:00",62783
"2020-06-17 00:00:00",36763
"2020-06-18 00:00:00",66906
"2020-06-19 00:00:00",62084
"2020-06-20 00:00:00",63390
"2020-06-21 00:00:00",62241
"2020-06-22 00:00:00",58319
"2020-06-23 00:00:00",58210
"2020-06-24 00:00:00",57113
"2020-06-25 00:00:00",53288
"2020-06-26 00:00:00",58848
"2020-06-27 00:00:00",60832
"2020-06-28 00:00:00",63341
"2020-06-29 00:00:00",61723
"2020-06-30 00:00:00",60028
"2020-07-01 00:00:00",59277
"2020-07-02 00:00:00",57946
"2020-07-03 00:00:00",58202
"2020-07-04 00:00:00",57530
"2020-07-05 00:00:00",57102
"2020-07-06 00:00:00",53878
"2020-07-07 00:00:00",51493
"2020-07-08 00:00:00",47446
"2020-07-09 00:00:00",44322
"2020-07-10 00:00:00",44070
"2020-07-11 00:00:00",43787
"2020-07-12 00:00:00",43064
"2020-07-13 00:00:00",39993
"2020-07-14 00:00:00",39409
"2020-07-15 00:00:00",36046
"2020-07-16 00:00:00",35395
"2020-07-17 00:00:00",35171
"2020-07-18 00:00:00",36080
"2020-07-19 00:00:00",35297
"2020-07-20 00:00:00",32869
"2020-07-21 00:00:00",30488
"2020-07-22 00:00:00",29984
"2020-07-23 00:00:00",27580
"2020-07-24 00:00:00",28883
"2020-07-25 00:00:00",29316
"2020-07-26 00:00:00",29507
"2020-07-27 00:00:00",27492
"2020-07-28 00:00:00",26761
"2020-07-29 00:00:00",25105
"2020-07-30 00:00:00",30488
"2020-07-31 00:00:00",28582
"2020-08-01 00:00:00",28811
"2020-08-02 00:00:00",29285
"2020-08-03 00:00:00",26847
"2020-08-04 00:00:00",27191
"2020-08-05 00:00:00",25236
"2020-08-06 00:00:00",24479
"2020-08-07 00:00:00",23406
"2020-08-08 00:00:00",23443
"2020-08-09 00:00:00",23204
"2020-08-10 00:00:00",21509
"2020-08-11 00:00:00",21089
"2020-08-12 00:00:00",19808
"2020-08-13 00:00:00",19381
"2020-08-14 00:00:00",19056
"2020-08-15 00:00:00",19560
"2020-08-16 00:00:00",19522
"2020-08-17 00:00:00",17274
"2020-08-18 00:00:00",16571
"2020-08-19 00:00:00",14312
"2020-08-20 00:00:00",17612
"2020-08-21 00:00:00",17051
"2020-08-22 00:00:00",18279
"2020-08-23 00:00:00",18226
"2020-08-24 00:00:00",15697
"2020-08-25 00:00:00",14226
"2020-08-26 00:00:00",15238
"2020-08-27 00:00:00",14486
"2020-08-28 00:00:00",14890
"2020-08-29 00:00:00",15812
