"DateTime","Players"
"2024-01-19 00:00:00",370128
"2024-01-20 00:00:00",855706
"2024-01-21 00:00:00",1291967
"2024-01-22 00:00:00",1582482
"2024-01-23 00:00:00",1864421
"2024-01-24 00:00:00",2018905
"2024-01-25 00:00:00",1999272
"2024-01-26 00:00:00",2033118
"2024-01-27 00:00:00",2101867
"2024-01-28 00:00:00",2101393
"2024-01-29 00:00:00",1790933
"2024-01-30 00:00:00",1651846
"2024-01-31 00:00:00",1471270
"2024-02-01 00:00:00",1355332
"2024-02-02 00:00:00",1309623
"2024-02-03 00:00:00",1359957
"2024-02-04 00:00:00",1315791
"2024-02-05 00:00:00",1047323
"2024-02-06 00:00:00",944328
"2024-02-07 00:00:00",861917
"2024-02-08 00:00:00",784385
"2024-02-09 00:00:00",682032
"2024-02-10 00:00:00",757508
"2024-02-11 00:00:00",756764
"2024-02-12 00:00:00",610050
"2024-02-13 00:00:00",574423
"2024-02-14 00:00:00",512859
"2024-02-15 00:00:00",501365
"2024-02-16 00:00:00",499873
"2024-02-17 00:00:00",535048
"2024-02-18 00:00:00",527994
"2024-02-19 00:00:00",430723
"2024-02-20 00:00:00",400674
"2024-02-21 00:00:00",375651
"2024-02-22 00:00:00",345846
"2024-02-23 00:00:00",337775
"2024-02-24 00:00:00",349911
"2024-02-25 00:00:00",339873
"2024-02-26 00:00:00",283406
"2024-02-27 00:00:00",282235
"2024-02-28 00:00:00",268046
"2024-02-29 00:00:00",254460
"2024-03-01 00:00:00",254814
"2024-03-02 00:00:00",273204
"2024-03-03 00:00:00",256556
"2024-03-04 00:00:00",209692
"2024-03-05 00:00:00",197822
"2024-03-06 00:00:00",182449
"2024-03-07 00:00:00",169325
"2024-03-08 00:00:00",172278
"2024-03-09 00:00:00",183012
"2024-03-10 00:00:00",171997
"2024-03-11 00:00:00",137935
"2024-03-12 00:00:00",128895
"2024-03-13 00:00:00",119277
"2024-03-14 00:00:00",110237
"2024-03-15 00:00:00",124582
"2024-03-16 00:00:00",141987
"2024-03-17 00:00:00",138585
"2024-03-18 00:00:00",115863
"2024-03-19 00:00:00",112381
"2024-03-20 00:00:00",106980
"2024-03-21 00:00:00",98004
"2024-03-22 00:00:00",100918
"2024-03-23 00:00:00",111338
"2024-03-24 00:00:00",104943
"2024-03-25 00:00:00",85363
"2024-03-26 00:00:00",80356
"2024-03-27 00:00:00",74502
"2024-03-28 00:00:00",68865
"2024-03-29 00:00:00",73851
"2024-03-30 00:00:00",75944
"2024-03-31 00:00:00",69850
"2024-04-01 00:00:00",63603
"2024-04-02 00:00:00",56031
"2024-04-03 00:00:00",57256
"2024-04-04 00:00:00",106225
"2024-04-05 00:00:00",120352
"2024-04-06 00:00:00",128855
"2024-04-07 00:00:00",126026
"2024-04-08 00:00:00",106246
"2024-04-09 00:00:00",100056
"2024-04-10 00:00:00",92607
"2024-04-11 00:00:00",84268
"2024-04-12 00:00:00",87362
"2024-04-13 00:00:00",96456
"2024-04-14 00:00:00",90931
"2024-04-15 00:00:00",73562
"2024-04-16 00:00:00",70847
"2024-04-17 00:00:00",65668
"2024-04-18 00:00:00",61722
"2024-04-19 00:00:00",63881
"2024-04-20 00:00:00",71899
"2024-04-21 00:00:00",67032
"2024-04-22 00:00:00",53180
"2024-04-23 00:00:00",52164
"2024-04-24 00:00:00",47437
"2024-04-25 00:00:00",44542
"2024-04-26 00:00:00",46332
"2024-04-27 00:00:00",49991
"2024-04-28 00:00:00",49518
"2024-04-29 00:00:00",40359
"2024-04-30 00:00:00",42927
"2024-05-01 00:00:00",45125
"2024-05-02 00:00:00",40016
"2024-05-03 00:00:00",41227
"2024-05-04 00:00:00",44627
"2024-05-05 00:00:00",44885
"2024-05-06 00:00:00",36126
"2024-05-07 00:00:00",34124
"2024-05-08 00:00:00",31971
"2024-05-09 00:00:00",31842
"2024-05-10 00:00:00",32211
"2024-05-11 00:00:00",37376
"2024-05-12 00:00:00",35493
"2024-05-13 00:00:00",28535
"2024-05-14 00:00:00",28673
"2024-05-15 00:00:00",28122
"2024-05-16 00:00:00",26537
"2024-05-17 00:00:00",28399
"2024-05-18 00:00:00",33338
"2024-05-19 00:00:00",32092
"2024-05-20 00:00:00",28082
"2024-05-21 00:00:00",25440
"2024-05-22 00:00:00",24853
"2024-05-23 00:00:00",22297
"2024-05-24 00:00:00",23980
"2024-05-25 00:00:00",27782
"2024-05-26 00:00:00",27302
"2024-05-27 00:00:00",23206
"2024-05-28 00:00:00",22726
"2024-05-29 00:00:00",22779
"2024-05-30 00:00:00",23102
"2024-05-31 00:00:00",24889
"2024-06-01 00:00:00",29012
"2024-06-02 00:00:00",29115
"2024-06-03 00:00:00",23990
"2024-06-04 00:00:00",23802
"2024-06-05 00:00:00",23187
"2024-06-06 00:00:00",22300
"2024-06-07 00:00:00",23210
"2024-06-08 00:00:00",29567
"2024-06-09 00:00:00",31913
"2024-06-10 00:00:00",26846
"2024-06-11 00:00:00",26362
"2024-06-12 00:00:00",25893
