DateTime,Players
2025-01-15 00:00:00,8833
2025-01-16 00:00:00,8645
2025-01-17 00:00:00,9271
2025-01-18 00:00:00,11210
2025-01-19 00:00:00,11750
2025-01-20 00:00:00,9853
2025-01-21 00:00:00,8450
2025-01-22 00:00:00,8806
2025-01-23 00:00:00,8404
2025-01-24 00:00:00,8864
2025-01-25 00:00:00,10730
2025-01-26 00:00:00,11251
2025-01-27 00:00:00,8195
2025-01-28 00:00:00,8491
2025-01-29 00:00:00,17571
2025-01-30 00:00:00,21938
2025-01-31 00:00:00,27721
2025-02-01 00:00:00,37975
2025-02-02 00:00:00,43695
2025-02-03 00:00:00,34511
2025-02-04 00:00:00,32192
2025-02-05 00:00:00,30322
2025-02-06 00:00:00,28958
2025-02-07 00:00:00,29165
2025-02-08 00:00:00,36960
2025-02-09 00:00:00,39747
2025-02-10 00:00:00,29753
2025-02-11 00:00:00,27636
2025-02-12 00:00:00,32271
