DateTime,Players
2024-05-30 00:00:00,12003
2024-05-31 00:00:00,12012
2024-06-01 00:00:00,13263
2024-06-02 00:00:00,12782
2024-06-03 00:00:00,10380
2024-06-04 00:00:00,12592
2024-06-05 00:00:00,12283
2024-06-06 00:00:00,14341
2024-06-07 00:00:00,14485
2024-06-08 00:00:00,15627
2024-06-09 00:00:00,16013
2024-06-10 00:00:00,12420
2024-06-11 00:00:00,12358
2024-06-12 00:00:00,12805
2024-06-13 00:00:00,43804
2024-06-14 00:00:00,44052
2024-06-15 00:00:00,53581
2024-06-16 00:00:00,54160
2024-06-17 00:00:00,44290
2024-06-18 00:00:00,40856
2024-06-19 00:00:00,38544
2024-06-20 00:00:00,39770
2024-06-21 00:00:00,38698
2024-06-22 00:00:00,42572
2024-06-23 00:00:00,42205
2024-06-24 00:00:00,35132
2024-06-25 00:00:00,33553
2024-06-26 00:00:00,32566
2024-06-27 00:00:00,33877
