DateTime,Players
2025-11-26 00:00:00,72140
2025-11-27 00:00:00,72886
2025-11-28 00:00:00,80599
2025-11-29 00:00:00,86360
2025-11-30 00:00:00,86495
2025-12-01 00:00:00,79785
2025-12-02 00:00:00,75912
2025-12-03 00:00:00,73574
2025-12-04 00:00:00,72137
2025-12-05 00:00:00,73555
2025-12-06 00:00:00,79789
2025-12-07 00:00:00,83966
2025-12-08 00:00:00,83403
2025-12-09 00:00:00,79689
2025-12-10 00:00:00,175546
2025-12-11 00:00:00,151231
2025-12-12 00:00:00,139845
2025-12-13 00:00:00,140082
2025-12-14 00:00:00,136667
2025-12-15 00:00:00,122308
2025-12-16 00:00:00,111338
2025-12-17 00:00:00,128322
2025-12-18 00:00:00,122950
2025-12-19 00:00:00,124454
2025-12-20 00:00:00,129727
2025-12-21 00:00:00,128543
2025-12-22 00:00:00,119332
2025-12-23 00:00:00,114710
2025-12-24 00:00:00,111702
