DateTime,Players
2024-10-03 00:00:00,9851
2024-10-04 00:00:00,11601
2024-10-05 00:00:00,12895
2024-10-06 00:00:00,12578
2024-10-07 00:00:00,9251
2024-10-08 00:00:00,8411
2024-10-09 00:00:00,8603
2024-10-10 00:00:00,9197
2024-10-11 00:00:00,11476
2024-10-12 00:00:00,13165
2024-10-13 00:00:00,13423
2024-10-14 00:00:00,11324
2024-10-15 00:00:00,10421
2024-10-16 00:00:00,10429
2024-10-17 00:00:00,14432
2024-10-18 00:00:00,14138
2024-10-19 00:00:00,15873
2024-10-20 00:00:00,15744
2024-10-21 00:00:00,12021
2024-10-22 00:00:00,11417
2024-10-23 00:00:00,10651
2024-10-24 00:00:00,10584
2024-10-25 00:00:00,11979
2024-10-26 00:00:00,13070
2024-10-27 00:00:00,13257
2024-10-28 00:00:00,10117
2024-10-29 00:00:00,9615
2024-10-30 00:00:00,9234
2024-10-31 00:00:00,9171
2024-11-01 00:00:00,11747
2024-11-02 00:00:00,13366
2024-11-03 00:00:00,13917
2024-11-04 00:00:00,9479
2024-11-05 00:00:00,8971
2024-11-06 00:00:00,7958
2024-11-07 00:00:00,7791
