DateTime,Players
2024-09-24 00:00:00,27881
2024-09-25 00:00:00,25714
2024-09-26 00:00:00,24629
2024-09-27 00:00:00,28656
2024-09-28 00:00:00,31514
2024-09-29 00:00:00,32005
2024-09-30 00:00:00,25668
2024-10-01 00:00:00,31962
2024-10-02 00:00:00,30197
2024-10-03 00:00:00,27955
2024-10-04 00:00:00,31518
2024-10-05 00:00:00,35858
2024-10-06 00:00:00,37246
2024-10-07 00:00:00,31031
2024-10-08 00:00:00,78328
2024-10-09 00:00:00,66177
2024-10-10 00:00:00,50445
2024-10-11 00:00:00,89537
2024-10-12 00:00:00,79210
2024-10-13 00:00:00,70261
2024-10-14 00:00:00,52706
2024-10-15 00:00:00,56640
2024-10-16 00:00:00,53811
2024-10-17 00:00:00,46865
2024-10-18 00:00:00,52136
2024-10-19 00:00:00,56503
2024-10-20 00:00:00,54594
2024-10-21 00:00:00,46570
2024-10-22 00:00:00,50903
